,Hindi_key,Hindi_value,Punjabi_key,Punjabi_value
11,,,"The tools, utilities and models  proposed to be developed will rely on open source contributions through Bolo India crowd sourcing platform","ਤੁਹਾਡੀ ਭਾਸ਼ਾ ਵਿੱਚ ਵਿਕਸਤ ਕਰਨ ਲਈ ਪੇਸ਼ ਕੀਤੇ ਗਏ ਟੂਲ, ਸਹੂਲਤਾਂ ਅਤੇ ਮਾਡਲ ਬੋਲੋ ਇੰਡੀਆ ਦੇ ਕਰਾਉਡ ਸੋਰਸ ਮੰਚ ਰਾਹੀਂ ਆਜ਼ਾਦ ਸਰੋਤ ਯੋਗਦਾਨ ਉੱਤੇ ਨਿਰਭਰ ਕਰਨਗੇ।"
14,,,"Speech recognition relies on ""machine-learning"" technology that requires huge collections of datasets that include diversified Indian voices and the corresponding text. Through Bolo India, we want to create a diverse open repository of Indian voice speaking Indian language which can be used for this initiative","ਬੋਲੀ ਪਛਾਣ ""ਮਸ਼ੀਨ ਸਿਖਲਾਈ"" ਤਕਨੀਕ ਉੱਤੇ ਨਿਰਭਰ ਹੈ, ਜਿਸ ਲਈ ਵੱਡੀ ਮਾਤਰਾ ਵਿੱਚ ਡਾਟਾ-ਸਮੂਹ ਚਹੀਦੇ ਹਨ, ਜਿਸ ਵਿੱਚ ਵੱਖ-ਵੱਖ ਆਵਾਜ਼ਾਂ ਅਤੇ ਉਹਨਾਂ ਨਾਲ ਸੰਬੰਧਿਤ ਲਿਖਤ ਚਾਹੀਦੀ ਹੈ। ਬੋਲੋ ਇੰਡਿਆ ਰਾਹੀਂ ਅਸੀਂ ਭਾਰਤੀ ਭਾਸ਼ਾਵਾਂ ਵਿੱਚ ਭਾਰਤੀ ਆਵਾਜ਼ਾਂ ਦਾ ਵਿਭਿੰਨ ਆਜ਼ਾਦ ਭੰਡਾਰ ਬਣਾਉਣਾ ਚਾਹੁੰਦੇ ਹਾਂ, ਜੋ ਕਿ ਇਸ ਸ਼ੁਰੂਆਤ ਲਈ ਵਰਤਿਆ ਜਾ ਸਕਦਾ ਹੈ।"
16,,,"As a team, we are inviting you to join us and contribute your voice to this initiative. Recording your voice at one stretch might be overwhelming and hence, we have created leaner measures on our website, for you to visit us multiple times and commence from where you left us off","ਅਸੀਂ ਤੁਹਾਨੂੰ ਇਸ ਸ਼ੁਰੂਆਤੀ ਲਈ ਤੁਹਾਡੀ ਆਵਾਜ਼ ਰਾਹੀਂ ਸਾਡਾ ਵਲੰਟੀਅਰ ਤੌਰ ਉੱਤੇ ਸਾਥ ਦੇਣ ਲਈ ਸੱਦਾ ਦੇ ਰਹੇ ਹਨ। ਲਗਾਤਾਰ ਆਪਣੀ ਆਵਾਜ਼ ਰਿਕਾਰਡ ਕਰਨਾ ਅਕਾਉ ਹੋ ਸਕਦਾ ਹੈ, ਇਸਕਰਕੇ ਤੁਸੀਂ ਇਹ ਕਈ ਵਾਰ ਵੈੱਬਸਾਈਟ ਉੱਤੇ ਆ ਕੇ ਜਿੱਥੇ ਤੁਸੀਂ ਛੱਡਿਆ ਹੋਵੇ, ਉਥੋਂ ਕਰਨ ਸਕਦੇ ਹੋ।"
21,,,ABOUT THE ORGANISATION,ਸੰਸਥਾ ਬਾਰੇ
22,,,EkStep Foundation,ਏਕਸਟੈਪ ਫ਼ਾਉਂਡੇਸ਼ਸ਼ਨ
23,,,"EkStep Foundation gathers partners and creates open infrastructure, tools and frameworks to solve complex societal problems at scale. We do this by leveraging the open source digital infrastructure we have created called Sunbird and by following a way of thinking and doing called the Societal Platform Approach","ਏਕਸਟੈਪ ਫ਼ਾਉਂਡੇਸ਼ਸ਼ਨ ਜਟਿਲ ਸਮਾਜਿਕ ਸਮੱਸਿਆਵਾਂ ਦਾ ਵੱਡੇ ਪੈਮਾਨੇ 'ਤੇ ਹੱਲ ਕਰਨ ਲਈ ਭਾਗੀਦਾਰਾਂ ਨੂੰ ਇਕੱਠਾ ਕਰਕੇ ਖੁੱਲੇ ਇੰਫਰਾਸਟ੍ਰਕਚਰ, ਟੂਲ ਅਤੇ ਫਰੇਮਵਰਕ ਦਾ ਨਿਰਮਾਣ ਕਰਦੀ ਹੈ। ਅਸੀਂ ਇੰਝ ਕਰਨ ਲਈ ਸਾਡੇ ਵੱਲੋਂ ਬਣਾਏ ਗਏ ""ਸਨਬਰਡ"" ਨਾਮਕ ਖੁੱਲ੍ਹੇ ਸਰੋਤ ਦੇ ਡਿਜੀਟਲ ਇੰਫਰਾਸਟ੍ਰਕਚਰ ਦੀ ਵਰਤੋਂ ਕਰਦੇ ਹਾਂ ਅਤੇ ""ਸਮਾਜਿਕ ਪਲੇਟਫਾਰਮ ਪਹੁੰਚ"" ਨਾਮਕ ਇੱਕ ਸੋਚਣ ਅਤੇ ਕਰਨ ਦੇ ਢੰਗ ਦੀ ਪਾਲਣਾ ਕਰਦੇ ਹਾਂ।"
24,,,EkStep is a not-for-profit organization founded by Rohini and Nandan Nilekani and Shankar Maruwada.,"ਏਕਸਟੈਪ, ਰੋਹਿਨੀ ਅਤੇ ਨੰਦਨ ਨਿਲੇਕਾਨੀ ਅਤੇ ਸ਼ੰਕਰ ਮਾਰੂਵਾੜਾ ਵੱਲੋਂ ਸਥਾਪਿਤ ਇੱਕ ਗੈਰ-ਮੁਨਾਫ਼ਾ ਸੰਸਥਾ ਹੈ।"
0,,,Select your preferred language,ਆਪਣੀ ਤਰਜੀਹੀ ਭਾਸ਼ਾ ਚੁਣੋ
4,,,More Languages,ਹੋਰ ਭਾਸ਼ਾਵਾਂ
5,,,Other Languages,ਦੂਜੀਆਂ ਭਾਸ਼ਾਵਾਂ
12,,,"© EkStep Foundation, 2021","© EkStep Foundation, 2021"
13,,,Supported by EkStep Foundation (built on sunbird.org/ai),EkStep Foundation ਦੇ ਸਹਿਯੋਗ ਨਾਲ ( sunbird.org/ai ਉੱਤੇ ਬਣਾਇਆ)
5,,,Mother Tongue,ਮਾਂ-ਬੋਲੀ
6,,,Select Mother Tongue,ਮਾਂ-ਬੋਲੀ ਚੁਣੋ
7,,,Age Group,ਉਮਰ ਸਮੂਹ
8,,,Select Age Group,ਉਮਰ ਸਮੂਹ ਚੁਣੋ
9,,,Gender,ਲਿੰਗ
16,,,Username cannot be more than 12 characters,ਵਰਤੋਂਕਾਰ ਨਾਂ ਵਿੱਚ 12 ਤੋਂ ਜ਼ਿਆਦਾ ਅੱਖਰ ਨਹੀਂ ਹੋ ਸਕਦੇ
17,,,Username cannot be an email address or a mobile number,"ਵਰਤੋਂਕਾਰ ਨਾਂ, ਇੱਕ ਈਮੇਲ ਪਤਾ ਜਾਂ ਮੋਬਾਈਲ ਨੰਬਰ ਨਹੀਂ ਹੋ ਸਕਦਾ"
18,,,Username should be between 4 to 20 characters,ਵਰਤੋਂਕਾਰ ਨਾਂ ਦੀ ਲੰਬਾਈ 4 ਤੋਂ 20 ਅੱਖਰਾਂ ਵਿਚਾਲੇ ਹੋਣੀ ਚਾਹੀਦੀ ਹੈ
19,,,This username is already taken,ਇਹ ਵਰਤੋਂਕਾਰ ਨਾਂ ਪਹਿਲਾਂ ਤੋਂ ਹੀ ਇਸਤੇਮਾਲ ਵਿੱਚ ਹੈ
23,,,Please agree to the Terms and Conditions before proceeding,ਜਾਰੀ ਰੱਖਣ ਤੋਂ ਪਹਿਲਾਂ ਸ਼ਰਤਾਂ ਅਤੇ ਨਿਯਮਾਂ ਨਾਲ ਸਹਿਮਤ ਹੋਵੋ
1,,,Your contribution has got us “x” seconds closer to our goal!,"ਤੁਹਾਡੇ ਯੋਗਦਾਨ ਕਰਕੇ ਅਸੀਂ ਆਪਣੇ ਟੀਚੇ ਦੇ ""x"" ਸਕਿੰਟ ਹੋਰ ਨੇੜੇ ਪਹੁੰਚ ਗਏ ਹਾਂ!"
9,,,Thank you for trying,ਯਤਨ ਕਰਨ ਲਈ ਤੁਹਾਡਾ ਧੰਨਵਾਦ ਹੈ
10,,,"You have contributed ""x"" recording(s) of your voice","ਤੁਸੀਂ ਆਪਣੀ ਆਵਾਜ਼ ਵਿੱਚ ""x"" ਰਿਕਾਰਡਿੰਗਾਂ ਦਾ ਯੋਗਦਾਨ ਪਾ ਚੁੱਕੇ ਹੋ"
12,,,Congratulations!!! You have completed this batch of sentences,ਵਧਾਈਆਂ!!! ਤੁਸੀਂ ਵਾਕਾਂ ਦਾ ਇਹ ਸਮੂਹ ਪੂਰਾ ਕਰ ਲਿਆ ਹੈ
14,,,Most Contributed - <x>,ਸਭ ਤੋਂ ਵੱਧ ਯੋਗਦਾਨ - <x>
15,,,Data recorded for <x>,<x> ਲਈ ਰਿਕਾਰਡ ਕੀਤਾ ਡਾਟਾ
16,,,Help your language achieve it’s goal of `x` hrs. We know you can do more!,ਆਪਣੀ ਭਾਸ਼ਾਂ ਨੂੰ ਇਸ ਦੇ 'x' ਘੰਟਿਆਂ ਦੇ ਟੀਚੇ ਨੂੰ ਪੂਰਨ ਲਈ ਮਦਦ ਕਰੋ। ਸਾਨੂੰ ਪਤਾ ਹੈ ਕਿ ਤੁਸੀਂ ਕਰ ਸਕਦੇ ਹੋ!
17,,,Did you know?,ਕੀ ਤੁਹਾਨੂੰ ਪਤਾ ਹੈ?
19,,,WooHoo!! You took the first important step,ਬੱਲੇ! ਤੁਸੀਂ ਪਹਿਲਾਂ ਜ਼ਰੂਰੀ ਕਦਮ ਚੁੱਕਿਆ
20,,,'x' Recordings contributed,x' ਰਿਕਾਰਡਿੰਗਾਂ ਦਾ ਯੋਗਦਾਨ ਪਾਇਆ
21,,,You are just 'x' sentences away from earning the Bronze Badge.,ਤੁਸੀਂ ਕਾਂਸੇ ਦਾ ਬਿੱਲਾ ਹਾਸਲ ਕਰਨ ਤੋਂ 'x' ਵਾਕ ਦੂਰ ਹੋ
22,,,You are just 'x' sentences away from earning the Silver Badge.,ਤੁਸੀਂ ਚਾਂਦੀ ਦਾ ਬਿੱਲਾ ਹਾਸਲ ਕਰਨ ਤੋਂ 'x' ਵਾਕ ਦੂਰ ਹੋ
23,,,You are just 'x' sentences away from earning the Gold Badge.,ਤੁਸੀਂ ਸੋਨੇ ਦਾ ਬਿੱਲਾ ਹਾਸਲ ਕਰਨ ਤੋਂ 'x' ਵਾਕ ਦੂਰ ਹੋ
24,,,You are just 'x' sentences away from earning the Platinum Badge.,ਤੁਸੀਂ ਪਲਾਟੀਨਮ ਦਾ ਬਿੱਲਾ ਹਾਸਲ ਕਰਨ ਤੋਂ 'x' ਵਾਕ ਦੂਰ ਹੋ
31,,,You are on a spree!,ਤੁਸੀਂ ਤਾਂ ਮਨੋਰੰਜਨ ਕਰ ਰਹੇ ਹੋ!
33,,,Woaah! You've earned your Bronze badge,ਬੱਲੇ! ਤੁਸੀਂ ਆਪਣਾ ਕਾਂਸੀ ਦਾ ਬਿੱਲਾ ਲੈ ਲਿਆ
34,,,Woaah! You've earned your Silver badge,ਬੱਲੇ! ਤੁਸੀਂ ਆਪਣਾ ਚਾਂਦੀ ਦਾ ਬਿੱਲਾ ਲੈ ਲਿਆ
35,,,Woaah! You've earned your Gold badge,ਬੱਲੇ! ਤੁਸੀਂ ਆਪਣਾ ਸੋਨੇ ਦਾ ਬਿੱਲਾ ਲੈ ਲਿਆ
36,,,Woaah! You've earned your Platinum badge,ਬੱਲੇ! ਤੁਸੀਂ ਆਪਣਾ ਪਲਾਟੀਨਮ ਦਾ ਬਿੱਲਾ ਲੈ ਲਿਆ
37,,,We love your spirit when you take the charge,"ਅਸੀਂ ਤੁਹਾਡੀ ਭਾਵਨਾ ਨੂੰ ਸਹਰਾਉਦੇ ਹਾਂ, ਜਦੋਂ ਤੁਸੀਂ ਮੋਰਚਾ ਸੰਭਾਲ ਲਿਆ"
38,,,"You are in control, lead the way","ਤੁਸੀਂ ਕਾਬੂ ਪਾ ਲਿਆ ਹੈ, ਅਗਵਾਈ ਜਾਰੀ ਰੱਖੋ"
39,,,Spread the word. Share it with your friends and family. ,ਦੁਨੀਆਂ ਵਿੱਚ ਫੈਲਾਓ। ਆਪਣੇ ਦੋਸਤਾਂ ਤੇ ਟੱਬਰ ਨਾਲ ਇਹ ਸਾਂਝਾ ਕਰੋ
42,,,"You have helped us validate ""x"" recordings",ਤੁਸੀਂ 'x' ਰਿਕਾਰਡਿੰਗਾਂ ਪ੍ਰਮਾਣਿਤ ਕਰਨ ਲਈ ਸਾਡੀ ਮਦਦ ਕਰ ਚੁੱਕੇ ਹੋ
43,,,"Thank you for validating ""x"" recordings",x' ਰਿਕਾਰਡਿੰਗਾਂ ਪ੍ਰਮਾਣਿਤ ਕਰਨ ਲਈ ਤੁਹਾਡਾ ਧੰਨਵਾਦ ਹੈ
44,,,Total recordings validated,ਕੁੱਲ ਰਿਕਾਰਡਿੰਗਾਂ ਪ੍ਰਮਾਣਿਤ ਹੋਈਆਂ
45,,,Total validated,ਕੁੱਲ ਪ੍ਰਮਾਣਿਤ ਕੀਤੀਆਂ
46,,,Total contributed,ਕੁੱਲ ਯੋਗਦਾਨ ਪਾਇਆ
47,,,Total recordings contributed,ਕੁੱਲ ਰਿਕਾਰਡਿੰਗਾਂ ਲਈ ਯੋਗਦਾਨ ਪਾਇਆ
51,,,"We do not have any data in ""Y"" language. Please try again later.","ਸਾਡੇ ਕੋਲ ""Y"" ਭਾਸ਼ਾ ਲਈ ਕੋਈ ਡਾਟਾ ਨਹੀਂ ਹੈ। ਕਿਰਪਾ ਕਰਕੇ ਬਾਅਦ 'ਚ ਕੋਸ਼ਿਸ਼ ਕਰੋ।"
52,,,Would you like to contribute your voice? ,ਕੀ ਤੁਸੀਂ ਆਪਣੀ ਆਵਾਜ਼ ਰਾਹੀਂ ਯੋਗਦਾਨ ਪਾਉਣਾ ਚਾਹੁੰਦੇ ਹੋ?
54,,,START CONTRIBUTING IN <Y>,"""Y"" ਵਿੱਚ ਯੋਗਦਾਨ ਪਾਉਣਾ ਸ਼ੁਰੂ ਕਰੋ"
57,,,I've contributed towards building open language repository for India on http://boloindia.nplt.in. You and I can make a difference by donating our voices that can help machines learn our language. Our <x> language ranks <y> on Bolo India. Do your bit and empower the language?,ਮੈਂ http://boloindia.nplt.in ਰਾਹੀਂ ਭਾਰਤ ਲਈ ਆਜ਼ਾਦ ਭਾਸ਼ਾ ਭੰਡਾਰ ਬਣਾਉਣ ਵਾਸਤੇ ਯੋਗਦਾਨ ਪਾਇਆ ਹੈ। ਤੁਸੀਂ ਤੇ ਮੈਂ ਰਲ ਕੇ ਆਪਣੀਆਂ ਆਵਾਜ਼ਾਂ ਦਾ ਦਾਨ ਦੇ ਕੇ ਮਦਦ ਕਰ ਸਕਦੇ ਹਾਂ ਤਾਂ ਕਿ ਸਾਡੀ ਭਾਸ਼ਾਂ ਵਿੱਚ ਮਸ਼ੀਨ ਸਿਖਲਾਈ ਵਾਸਤੇ ਮਦਦ ਹੋਵੇ। ਬੋਲੋ ਇੰਡੀਆ ਉੱਤੇ ਸਾਡਾ <x> ਭਾਸ਼ਾ ਦਰਜਾ <y> ਹੈ। ਆਪਣਾ ਹਿੱਸਾ ਪਾਉਣਾ ਤੇ ਭਾਸ਼ਾ ਨੂੰ ਮਜ਼ਬੂਤ ਕਰਨਾ ਹੈ?
3,,,Progress Timeline,ਤਰੱਕੀ ਸਮਾਂ-ਰੇਖਾ
5,,,Recorded ,ਰਿਕਾਰਡ ਕੀਤੀ
8,,,Count,ਗਿਣਤੀ
14,,,Speakers contributed,ਯੋਗਦਾਨ ਕਰਨ ਵਾਲੇ ਸਪੀਕਰ
15,,,hours contributed,ਯੋਗਦਾਨ ਪਾਏ ਗਏ ਘੰਟੇ
17,,,Languages contributed,ਯੋਗਦਾਨ ਪਾਈਆਂ ਭਾਸ਼ਾਵਾਂ
19,,,Gender Distribution,ਲਿੰਗ ਮੁਤਾਬਕ ਵੰਡ
22,,,Male,ਪੁਰਸ਼
23,,,Female,ਇਸਤਰੀ
25,,,Transgender - He,ਟਰਾਂਸਜੈਂਡਰ - ਸ੍ਰੀਮਾਨ
26,,,Transgender - She,ਟਰਾਂਸਜੈਂਡਰ - ਸ੍ਰੀਮਤੀ
27,,,Rather Not Say,ਦੱਸਣਾ ਨਹੀਂ ਚਾਹੁੰਦੇ
32,,,Age Group Distribution,ਉਮਰ ਸਮੂਹ ਮੁਤਾਬਕ ਵੰਡ
33,,,Anonymous,ਅਗਿਆਤ
34,,,upto 10,10 ਤੱਕ
35,,,30 years,30 ਸਾਲ
41,,,Contributed,ਯੋਗਦਾਨ ਪਾਏ
42,,,Speakers,ਸਪੀਕਰ
43,,,hrs,ਘੰਟੇ
44,,,mins,ਮਿੰਟ
45,,,secs,ਸਕਿੰਟ
49,,,"We do not have any data for this language, would you like to contribute for it?","ਸਾਡੇ ਕੋਲ ਇਸ ਭਾਸ਼ਾ ਲਈ ਕੋਈ ਡਾਟਾ ਨਹੀਂ ਹੈ, ਕੀ ਤੁਸੀਂ ਇਸ ਵਾਸਤੇ ਯੋਗਦਾਨ ਪਾਉਣਾ ਚਾਹੋਗੇ?"
50,,,Contribute Now,ਹੁਣੇ ਯੋਗਦਾਨ ਪਾਓ
1,,,Quick Tips,ਫੌਰੀ ਗੁਰ
3,,,Recording Instructions,ਰਿਕਾਰਡਿੰਗ ਸੰਬੰਧੀ ਹਿਦਾਇਤਾਂ
4,,,Please test your microphone,ਕਿਰਪਾ ਕਰਕੇ ਆਪਣੇ ਮਾਈਕਰੋਫ਼ੋਨ ਦੀ ਜਾਂਚ ਕਰੋ
6,,,Ensure there is no background noise,ਪੱਕਾ ਕਰੋ ਕਿ ਪਿੱਛੇ ਕੋਈ ਰੌਲਾ ਨਾ ਪੈਂਦਾ ਹੋਵੇ
7,,,Read once before recording it,ਇਹ ਰਿਕਾਰਡ ਕਰਨ ਤੋਂ ਪਹਿਲਾਂ ਇੱਕ ਵਾਰ ਪੜ੍ਹੋ
8,,,Get started by clicking on Record button,'ਰਿਕਾਰਡ ਕਰੋ' ਬਟਨ 'ਤੇ ਕਲਿੱਕ ਕਰਕੇ ਸ਼ੁਰੂ ਕਰੋ 
9,,,Start,ਸ਼ੁਰੂ ਕਰੋ
12,,,Validating Instructions,ਪ੍ਰਮਾਣੀਕਰਨ ਸੰਬੰਧੀ ਹਿਦਾਇਤਾਂ
13,,,Please test your speakers,ਕਿਰਪਾ ਕਰਕੇ ਆਪਣੇ ਸਪੀਕਰਾਂ ਦੀ ਜਾਂਚ ਕਰੋ
14,,,Ensure the voice is clear and audible,ਪੱਕਾ ਕਰੋ ਕਿ ਅਵਾਜ਼ ਸਾਫ਼ ਅਤੇ ਸੁਣਨਯੋਗ ਹੋਵੇ
15,,,Match the voice to the text accurately,ਅਵਾਜ਼ ਨੂੰ ਲਿਖਤ ਨਾਂ ਚੰਗੀ ਤਰ੍ਹਾਂ ਮਿਲਾਓ
16,,,"If you are unsure of the match, skip the particular voice sample","ਜੇ ਤੁਹਾਨੂੰ ਮਿਲਾਨ ਚੰਗੀ ਤਰ੍ਹਾਂ ਨਾਲ ਸਮਝ ਨਹੀਂ ਆਇਆ ਜਾਂ ਤੁਹਾਨੂੰ ਇਸ ਬਾਰੇ ਪੱਕਾ ਪਤਾ ਨਹੀਂ ਹੈ, ਤਾਂ ਉਹ ਅਵਾਜ਼ੀ ਨਮੂਨਾ ਛੱਡ ਦਿਓ"
0,,,RE-RECORD,ਮੁੜ-ਰਿਕਾਰਡ ਕਰੋ
1,,,STOP RECORDING,ਰਿਕਾਰਡਿੰਗ ਬੰਦ ਕਰੋ
2,,,NEXT,ਅੱਗੇ
4,,,START RECORDING,ਰਿਕਾਰਡਿੰਗ ਸ਼ੁਰੂ ਕਰੋ
7,,,Let's get started,ਆਓ ਸ਼ੁਰੂ ਕਰੀਏ
8,,,We know you can do more!,ਸਾਨੂੰ ਵਿਸ਼ਵਾਸ ਹੈ ਕਿ ਤੁਸੀਂ ਹੋਰ ਯੋਗਦਾਨ ਕਰ ਸਕਦੇ ਹੋ!
9,,,You are halfway there. Keep going!,ਤੁਸੀਂ ਆਪਣੇ ਟੀਚੇ ਦੇ ਬਹੁਤ ਨੇੜੇ ਹੋ। ਲੱਗੇ ਰਹੋ!
10,,,"Just few more steps to go!
",ਬਸ ਕੁਝ ਹੀ ਹੋਰ ਕਦਮ!
11,,,"Nine dead, one more to go!","ਨੌਂ ਤੀਰ ਨਿਸ਼ਾਨੇ 'ਤੇ ਲੱਗੇ, ਬਸ ਇੱਕ ਹੋਰ!"
12,,,Yay! Done & Dusted!,ਬੱਲੇ! ਚੱਕ ਤੇ ਫੱਟੇ!
19,,,Recording will automatically stop after 04 Seconds,04 ਸਕਿੰਟ ਬਾਅਦ ਰਿਕਾਰਡਿੰਗ ਆਪਣੇ-ਆਪ ਰੁਕ ਜਾਏਗੀ
21,,,Test your Microphone and Speakers,ਆਪਣੇ ਮਾਈਕਰੋਫੋਨ ਅਤੇ ਸਪੀਕਰਾਂ ਦੀ ਜਾਂਚ ਕਰੋ
22,,,Test Mic,ਮਾਈਕ ਦੀ ਜਾਂਚ ਕਰੋ
23,,,Test Speaker,ਸਪੀਕਰਾਂ ਦੀ ਜਾਂਚ ਕਰੋ
24,,,Recording,ਰਿਕਾਰਡਿੰਗ
25,,,Playing,ਚੱਲ ਰਿਹਾ ਹੈ
26,,,Background noise detected,ਬੈਕਗਰਾਊਂਡ ਵਿੱਚ ਰੌਲਾ ਖੋਜਿਆ ਗਿਆ
27,,,Ambience noise detected,ਮਾਹੌਲ ਵਿੱਚ ਰੌਲਾ ਖੋਜਿਆ ਗਿਆ
28,,,"Recording for ""x"" seconds",x' ਸਕਿੰਟ ਲਈ ਰਿਕਾਰਡਿੰਗ
29,,,Playing back Audio,ਪਿੱਛੇ ਆਡੀਓ ਚੱਲ ਰਹੀ ਹੈ
34,,,"Hurting sentiments of religion, community or abusive content etc.","ਧਰਮ, ਸਮਾਜ ਦੀਆਂ ਭਾਵਨਾਵਾਂ ਨੂੰ ਸੱਟ ਮਾਰਦੇ ਜਾਂ ਨਿੰਦਾਪੂਰਨ ਸਮੱਗਰੀ ਆਦਿ"
35,,,Prohibited Content,ਪਾਬੰਦੀਸ਼ੁਦਾ ਸਮੱਗਰੀ
37,,,Political Statement,ਰਾਜਨੀਤਿਕ ਬਿਆਨ
38,,,"Hateful Political views, amplifying hate-speech etc.","ਨਫ਼ਰਤ ਭਰੇ ਰਾਜਨੀਤਿਕ ਪੱਖ, ਪੱਖਪਾਤੀ ਨਫ਼ਰਤੀ-ਭਾਸ਼ਣ ਆਦਿ"
39,,,Misinformation,ਗ਼ਲਤ ਜਾਣਕਾਰੀ
0,,,PLAY,ਚਲਾਓ
2,,,Instructions,ਹਿਦਾਇਤਾਂ
3,,,RE-PLAY,ਮੁੜ-ਚਲਾਓ
4,,,Incorrect,ਗ਼ਲਤ
6,,,Pause,ਵਿਰਾਮ
9,,,Congratulations! You have validated a batch of recordings!,ਵਧਾਈਆਂ! ਤੁਸੀਂ ਅਵਾਜ਼ੀ ਨਮੂਨਿਆਂ ਦੇ ਇੱਕ ਬੈਚ ਨੂੰ ਪ੍ਰਮਾਣਿਤ ਕੀਤਾ!
0,,,Looks like you have taken a wrong turn here,ਲੱਗਦਾ ਹੈ ਕਿ ਤੁਸੀਂ ਕਿਸੇ ਗਲਤ ਥਾਂ 'ਤੇ ਆ ਗਏ ਹੋ
1,,,Page Not Found,ਪੰਨਾ ਨਹੀਂ ਮਿਲਿਆ
2,,,"Click Here ""x"" to go back to home page","ਹੋਮ ਪੰਨੇ 'ਤੇ ਜਾਣ ਲਈ ""x"" 'ਤੇ ਕਲਿੱਕ ਕਰੋ"
3,,,An unexpected error occured while processing your request. Please try after some time.,ਤੁਹਾਡੀ ਬੇਨਤੀ 'ਤੇ ਪ੍ਰਕਿਰਿਆ ਕਰਨ ਦੌਰਾਨ ਕੋਈ ਅਗਿਆਤ ਗ਼ਲਤੀ ਹੋ ਗਈ। ਕਿਰਪਾ ਕਰਕੇ ਕੁਝ ਸਮੇਂ ਬਾਅਦ ਦੁਬਾਰਾ ਕੋਸ਼ਿਸ਼ ਕਰੋ।
4,,,Close,ਬੰਦ ਕਰੋ
6,,,Oops,ਓਹ ਹੋ
1,,,Help your language by donating your voice,ਆਪਣੀ ਆਵਾਜ਼ ਦਾਨ ਕਰਕੇ ਆਪਣੀ ਭਾਸ਼ਾ ਦੀ ਸਹਾਇਤਾ ਕਰੋ
3,,,Contributions made to Bolo India,ਬੋਲੋ ਇੰਡੀਆ ਵਿਚ ਯੋਗਦਾਨ ਪਾਇਆ
4,,,languages,ਬੋਲੀਆਂ
7,,,Hours validated,ਘੰਟੇ ਪ੍ਰਮਾਣਿਤ ਕੀਤੇ ਗਏ
9,,,by hours of data recorded and validated,ਦਰਜ ਕੀਤੇ ਡੇਟਾ ਅਤੇ ਵੈਧਤਾ ਦੇ ਘੰਟਿਆਂ ਦੁਆਰਾ
15,,,number of speakers,ਬੋਲਣ ਵਾਲਿਆਂ ਦੀ ਗਿਣਤੀ
1,,,"Earn badges or certificate by contributing to Bolo India. Donate your voice in language of your choice. Share badges in your social circle, build your language community, motivate your friends and family to contribute towards the cause. The strength of Bolo India is in the diversity of the people i.e. YOU.","ਬੋਲੋ ਇੰਡੀਆ ਵਿੱਚ ਯੋਗਦਾਨ ਪਾ ਕੇ ਬੈਜ ਜਾਂ ਸਰਟੀਫਿਕੇਟ ਕਮਾਓ । ਆਪਣੀ ਅਵਾਜ਼ ਨੂੰ ਆਪਣੀ ਪਸੰਦ ਦੀ ਭਾਸ਼ਾ ਵਿਚ ਦਾਨ ਕਰੋ। ਆਪਣੇ ਸਮਾਜਿਕ ਚੱਕਰ ਵਿੱਚ ਬੈਜਾਂ ਨੂੰ ਸਾਂਝਾ ਕਰੋ, ਆਪਣੀ ਭਾਸ਼ਾ ਕਮਿਊਨੀਟੀ ਦਾ ਨਿਰਮਾਣ ਕਰੋ, ਆਪਣੇ ਦੋਸਤਾਂ ਅਤੇ ਪਰਿਵਾਰ ਨੂੰ ਇਸਦੇ ਲਈ ਯੋਗਦਾਨ ਪਾਉਣ ਲਈ ਪ੍ਰੇਰਿਤ ਕਰੋ । ਬੋਲੋ ਇੰਡੀਆ ਦੀ ਤਾਕਤ ਲੋਕਾਂ ਦੀ ਵਿਭਿੰਨਤਾ ਵਿੱਚ ਹੈ ਅਰਥਾਤ ਤੁਸੀਂ ।"
4,,,The levels defined by an overall contributions on Bolo India. Please see the criteria that defines different levels below,ਬੋਲੋ ਇੰਡੀਆ ਦੇ ਸਮੁੱਚੇ ਯੋਗਦਾਨ ਦੁਆਰਾ ਨਿਰਧਾਰਤ ਪੱਧਰ । ਕਿਰਪਾ ਕਰਕੇ ਉਹ ਮਾਪਦੰਡ ਵੇਖੋ ਜੋ ਹੇਠਾਂ ਵੱਖੋ ਵੱਖਰੇ ਪੱਧਰਾਂ ਨੂੰ ਪਰਿਭਾਸ਼ਤ ਕਰਦਾ ਹੈ
6,,,Contributions (Contributing),ਯੋਗਦਾਨ (ਯੋਗਦਾਨ)
9,,,Contributing : 5 sentences,ਯੋਗਦਾਨ: 5 ਵਾਕ
12,,,Contributing : 50 sentences,ਯੋਗਦਾਨ: 50 ਵਾਕ
15,,,Contributing : 100 sentences,ਯੋਗਦਾਨ: 100 ਵਾਕ
18,,,Contributing : 200 sentences,ਯੋਗਦਾਨ: 200 ਵਾਕ
